#! FIELDS time psi11 phi10 alpha
#! SET min_psi11 -pi
#! SET max_psi11 pi
#! SET min_phi10 -pi
#! SET max_phi10 pi
 0.000000 -0.497002 3.046051 0.003126
 1.000000 -0.323118 2.907793 0.005835
 2.000000 -0.287606 -3.140975 0.007366
 3.000000 -0.368308 -2.958441 0.006792
 4.000000 -0.135350 -2.947065 0.007329
 5.000000 -0.345295 2.613309 0.002792
 6.000000 1.306797 -2.941841 0.003087
 7.000000 -0.438319 2.863073 0.002579
 8.000000 -0.353790 -2.883687 0.002869
 9.000000 1.126524 2.611437 0.003668
 10.000000 1.045396 -2.998568 0.002814
 11.000000 -0.280659 2.963246 0.003640
 12.000000 1.023998 -2.919234 0.002349
 13.000000 -0.295815 2.639149 0.003052
 14.000000 1.536498 -3.053273 0.002991
 15.000000 1.216998 2.886486 0.002729
 16.000000 1.392489 -3.035936 0.003570
 17.000000 -0.257692 -3.129858 0.003974
 18.000000 1.012621 2.775200 0.002967
 19.000000 -0.398410 2.775608 0.003559
 20.000000 -0.445932 2.814753 0.003922
 21.000000 -0.446866 2.837673 0.003246
 22.000000 -0.335472 3.017191 0.002791
 23.000000 -0.257704 3.079629 0.002798
 24.000000 1.052376 2.569753 0.002618
 25.000000 -0.333555 -3.092432 0.003366
 26.000000 1.287934 -2.933286 0.002741
 27.000000 -0.179306 2.612459 0.002542
 28.000000 1.815060 2.455852 0.002913
 29.000000 -0.452256 2.350951 0.002599
 30.000000 -0.267454 3.093343 0.002672
 31.000000 1.003058 2.987496 0.002953
 32.000000 -0.393097 2.838856 0.003011
 33.000000 1.574166 2.896907 0.002853
 34.000000 1.232440 2.991781 0.001806
 35.000000 1.446722 3.059673 0.002609
 36.000000 -0.237881 2.655182 0.002768
 37.000000 1.177829 1.847420 0.003702
 38.000000 -0.403765 2.685666 0.003540
 39.000000 1.079172 3.099823 0.003119
 40.000000 -0.405472 3.005626 0.003615
 41.000000 -0.326062 2.958500 0.002809
 42.000000 -0.345015 2.501026 0.003245
 43.000000 -0.451010 2.981467 0.003016
 44.000000 -0.252541 2.615823 0.003450
 45.000000 -0.183544 2.945867 0.003075
 46.000000 1.481387 -3.094093 0.002909
 47.000000 -0.328232 -3.131259 0.003323
 48.000000 -0.440204 2.851118 0.003224
 49.000000 -0.029505 2.946590 0.003766
 50.000000 1.834284 2.452117 0.003195
 51.000000 1.245647 2.901819 0.002697
 52.000000 -0.367724 -2.982201 0.003895
 53.000000 -0.350029 2.487526 0.002546
 54.000000 -0.089244 2.773430 0.004154
 55.000000 -0.578441 2.656334 0.002892
 56.000000 1.171836 2.765857 0.003505
 57.000000 -0.411254 2.682431 0.003285
 58.000000 -0.265424 -3.008051 0.003075
 59.000000 -0.462853 3.140419 0.002839
 60.000000 -0.411791 2.856305 0.005023
 61.000000 1.390902 3.012201 0.002905
 62.000000 -0.299855 2.875485 0.003329
 63.000000 0.996186 2.796206 0.002957
 64.000000 0.864217 3.104437 0.002668
 65.000000 1.031724 -2.779817 0.003211
 66.000000 -0.306512 3.027440 0.003338
 67.000000 -0.481045 2.931973 0.003475
 68.000000 -0.520309 2.430068 0.003960
 69.000000 -0.650809 2.750856 0.003018
 70.000000 -0.366434 -2.985154 0.003339
 71.000000 -0.507805 -2.838521 0.003546
 72.000000 0.829386 2.748258 0.002995
 73.000000 -0.490292 2.817223 0.003551
 74.000000 -0.245077 2.948664 0.003625
 75.000000 -0.303808 2.695701 0.003236
 76.000000 -0.392808 -2.966902 0.003372
 77.000000 -0.415266 2.824484 0.003049
 78.000000 -0.266229 2.753663 0.003439
 79.000000 1.075611 2.955765 0.002929
 80.000000 -0.518790 2.755677 0.003563
 81.000000 -0.285333 2.795079 0.003140
 82.000000 -0.434114 3.120920 0.003441
 83.000000 1.121823 2.692370 0.002819
 84.000000 -0.421091 -3.076523 0.002739
 85.000000 1.311126 2.640637 0.003433
 86.000000 -0.461009 2.847174 0.003150
 87.000000 -0.377931 2.156019 0.002925
 88.000000 -0.361812 2.839530 0.002596
 89.000000 -0.360875 3.082477 0.002765
 90.000000 -0.253848 -2.939324 0.006082
 91.000000 -0.348552 -2.950679 0.005081
 92.000000 -0.430257 -3.051343 0.002896
 93.000000 -0.493839 2.545797 0.002972
 94.000000 1.124129 -3.036559 0.002789
 95.000000 -0.258289 2.432353 0.002852
 96.000000 -0.459111 -3.087002 0.003581
 97.000000 -0.217534 2.591173 0.003599
 98.000000 -0.277550 -3.091294 0.003603
 99.000000 1.620562 2.813445 0.003620
 100.000000 -0.275021 2.793573 0.003454
 101.000000 -0.062723 2.738013 0.003201
 102.000000 -0.248419 -2.931770 0.002898
 103.000000 -0.402931 2.897007 0.003709
 104.000000 -0.267379 -3.069447 0.002702
 105.000000 -0.273309 2.779583 0.003728
 106.000000 -0.406574 -3.122851 0.003128
 107.000000 1.355564 -3.112035 0.003162
 108.000000 0.885994 2.909886 0.002389
 109.000000 1.398067 2.888684 0.003372
 110.000000 -0.295092 2.956271 0.003579
 111.000000 -0.241750 2.762466 0.003682
 112.000000 -0.366049 2.775586 0.003675
 113.000000 -0.201869 2.755829 0.003612
 114.000000 -0.458100 2.978622 0.006146
 115.000000 1.452198 2.743229 0.002536
 116.000000 -0.430618 2.862619 0.003670
 117.000000 -0.270195 2.641350 0.002562
 118.000000 -0.340118 2.552544 0.003108
 119.000000 -0.425366 2.894769 0.003454
 120.000000 -0.200719 2.677541 0.002686
 121.000000 0.226485 -3.087351 0.003152
 122.000000 0.268478 -3.053856 0.005484
 123.000000 0.445391 -3.090497 0.003647
 124.000000 0.365827 -2.850284 0.002730
 125.000000 -0.883219 2.733114 0.004413
 126.000000 0.160347 -3.055361 0.003984
 127.000000 0.414528 -2.101225 0.004341
 128.000000 0.299671 -1.844625 0.004299
 129.000000 0.303292 -2.308506 0.005378
 130.000000 0.250473 -2.770908 0.001232
 131.000000 0.215944 2.672230 0.001027
 132.000000 0.442335 -2.718429 0.000344
 133.000000 -0.306028 -2.323229 0.000656
 134.000000 1.227931 -2.943603 0.000853
 135.000000 -1.356202 -2.803069 0.000321
 136.000000 -1.247049 2.794562 0.000427
 137.000000 0.393219 3.036853 0.000888
 138.000000 0.233076 2.991163 0.002565
 139.000000 0.071226 2.759131 0.001553
 140.000000 0.347424 -2.683891 0.002548
 141.000000 0.289096 -2.939063 0.001983
 142.000000 0.235206 -3.080186 0.003951
 143.000000 0.353959 3.115645 0.003056
 144.000000 0.330536 -2.977823 0.001550
 145.000000 0.231037 -2.877283 0.001910
 146.000000 -0.058779 2.749942 0.001536
 147.000000 0.426069 -2.745250 0.002745
 148.000000 0.380932 -2.856113 0.000464
 149.000000 0.161959 3.086026 0.000093
 150.000000 -0.986702 2.661556 0.000804
 151.000000 -1.293482 2.910013 0.000524
 152.000000 -0.371483 -2.857795 0.000340
 153.000000 -0.476143 2.929251 0.000152
 154.000000 -1.720557 -2.993032 0.000709
 155.000000 0.435106 2.958734 0.000926
 156.000000 0.324726 -3.028349 0.000477
 157.000000 -1.432020 2.883890 0.000510
 158.000000 0.431963 -2.717837 0.000522
 159.000000 0.511152 -2.517545 0.000295
 160.000000 0.054844 -2.626538 0.001080
 161.000000 1.157436 -2.539905 0.000989
 162.000000 -0.398872 -2.672026 0.000916
 163.000000 -0.566044 -2.690744 0.000811
 164.000000 -2.130910 -2.688665 0.000712
 165.000000 0.331954 3.056677 0.000782
 166.000000 -1.380343 -2.757159 0.000320
 167.000000 -0.688575 -3.104285 0.001166
 168.000000 1.508070 -2.986751 0.005292
 169.000000 -1.400241 2.720698 0.000673
 170.000000 1.527728 -2.156926 0.000724
 171.000000 1.448669 -2.469885 0.000180
 172.000000 0.307898 -2.916541 0.000480
 173.000000 0.798807 -2.633553 0.000165
 174.000000 -0.406441 -2.727993 0.001514
 175.000000 0.506595 3.097205 0.000781
 176.000000 0.155287 2.949168 0.000242
 177.000000 -1.667033 3.078825 0.000497
 178.000000 0.430769 -2.824509 0.000601
 179.000000 0.163615 -2.614125 0.000273
 180.000000 0.187023 2.580257 0.000597
 181.000000 -0.294352 2.710295 0.000575
 182.000000 -1.537001 2.145182 0.000546
 183.000000 -1.129588 -2.877929 0.000396
 184.000000 0.259591 -2.586435 0.000861
 185.000000 0.700079 -2.575519 0.000968
 186.000000 0.172757 2.495348 0.000293
 187.000000 -0.377344 -2.463636 0.001106
 188.000000 0.071848 -2.925645 0.000657
 189.000000 -0.422533 -2.852697 0.000590
 190.000000 0.164004 -2.733619 0.000574
 191.000000 1.224044 -2.829437 0.000704
 192.000000 1.031935 -2.381466 0.000825
 193.000000 0.295242 -2.758241 0.000257
 194.000000 -0.356804 2.780292 0.000746
 195.000000 -0.413337 -3.060267 0.000883
 196.000000 -1.036331 3.044401 0.000437
 197.000000 0.434859 2.766375 0.001814
 198.000000 -0.443763 2.964749 0.001491
 199.000000 -0.312600 2.932494 0.002416
 200.000000 0.383553 2.782896 0.000761
 201.000000 -0.072458 -2.534568 0.000298
 202.000000 0.419118 -2.583074 0.000359
 203.000000 0.435634 -2.708421 0.001290
 204.000000 -0.405673 -2.335242 0.000487
 205.000000 0.344752 -2.737154 0.000219
 206.000000 0.826133 -2.790355 0.000381
 207.000000 0.258783 -2.593042 0.000719
 208.000000 0.491156 3.117612 0.000572
 209.000000 0.265440 2.981461 0.000667
 210.000000 0.448760 -2.923894 0.000928
 211.000000 0.257975 -2.907149 0.000841
 212.000000 0.517497 -2.218731 0.000405
 213.000000 -0.568621 -3.101485 0.001571
 214.000000 -0.064187 2.821844 0.002584
 215.000000 -0.278608 -2.093579 0.000929
 216.000000 0.038498 -2.756448 0.000291
 217.000000 0.301460 3.063997 0.002095
 218.000000 -1.829518 -2.511112 0.000218
 219.000000 1.418930 2.828904 0.000370
 220.000000 -0.194718 -2.665226 0.000172
 221.000000 0.116644 2.917909 0.000393
 222.000000 -1.522369 -2.801697 0.000239
 223.000000 0.146984 2.713960 0.000399
 224.000000 -1.565581 -2.887774 0.000436
 225.000000 0.396172 2.699579 0.000472
 226.000000 0.319418 -2.650022 0.000530
 227.000000 -1.455193 -2.694180 0.000097
 228.000000 0.956623 -2.146892 0.000250
 229.000000 -1.339948 3.068385 0.000251
 230.000000 0.342477 -2.627482 0.000789
 231.000000 0.115277 -2.729402 0.000607
 232.000000 -1.248627 -2.540916 0.000451
 233.000000 -1.530084 -2.992282 0.000406
 234.000000 -0.493450 -2.658646 0.000184
 235.000000 0.522154 -2.262664 0.000270
 236.000000 0.448422 -2.583480 0.001157
 237.000000 0.182448 -2.355064 0.000670
 238.000000 0.097239 2.935245 0.001142
 239.000000 0.504431 -2.932583 0.000951
 240.000000 0.374888 -3.122219 0.000466
 241.000000 -1.162691 2.531859 0.000688
 242.000000 0.604048 -2.778045 0.000133
 243.000000 0.389576 2.793400 0.000443
 244.000000 -0.480703 -2.391277 0.001144
 245.000000 -0.805879 -2.641259 0.001356
 246.000000 0.392152 -2.480342 0.000879
 247.000000 0.267290 -2.882799 0.000969
 248.000000 0.232119 -2.788294 0.000375
 249.000000 -1.423876 3.001680 0.000389
 250.000000 -1.429625 -2.933289 0.000307
 251.000000 -1.611681 -2.930931 0.000294
 252.000000 -1.498587 2.782827 0.000584
 253.000000 -1.584530 -2.736544 0.000258
 254.000000 -0.326803 2.804757 0.000909
 255.000000 0.278114 -2.067887 0.001001
 256.000000 -1.520036 -2.599842 0.000807
 257.000000 -1.213416 3.137266 0.000117
 258.000000 0.164591 -3.001388 0.000410
 259.000000 -1.280477 -2.882841 0.000180
 260.000000 0.400170 2.904047 0.000470
 261.000000 0.234023 -2.235125 0.000889
 262.000000 0.322805 2.764049 0.000874
 263.000000 0.171467 -2.809320 0.000895
 264.000000 0.346854 -2.536747 0.000187
 265.000000 -0.362124 2.646457 0.000277
 266.000000 1.217241 2.641800 0.000264
 267.000000 0.514486 -2.557204 0.000466
 268.000000 -1.532780 -2.611886 0.000134
 269.000000 1.369259 -2.689108 0.000232
 270.000000 1.429172 -2.721670 0.001330
 271.000000 0.312902 2.625003 0.003552
 272.000000 0.162836 -2.855734 0.002804
 273.000000 0.228793 2.489158 0.001583
 274.000000 0.070230 2.766189 0.002883
 275.000000 0.318302 -3.005051 0.002942
 276.000000 -1.022250 3.113185 0.000618
 277.000000 0.047789 2.889906 0.000376
 278.000000 0.329226 -2.921085 0.000283
 279.000000 -1.252097 2.602362 0.000271
 280.000000 0.237655 2.850893 0.000638
 281.000000 -1.318493 -2.636783 0.000133
 282.000000 -0.221152 2.838724 0.000192
 283.000000 -1.515171 -2.729392 0.000522
 284.000000 0.431312 2.327655 0.000528
 285.000000 -0.424600 3.024652 0.000843
 286.000000 0.327326 2.174892 0.000640
 287.000000 -0.004365 2.938933 0.000739
 288.000000 0.388433 2.883264 0.000634
 289.000000 0.208513 3.059178 0.001736
 290.000000 -1.489846 2.879865 0.001536
 291.000000 0.185151 -2.644887 0.002482
 292.000000 1.379859 3.093584 0.000653
 293.000000 0.317799 2.713201 0.000251
 294.000000 1.956166 -2.594406 0.000829
 295.000000 1.211424 -2.894431 0.000435
 296.000000 -1.566746 -3.022821 0.000918
 297.000000 -1.367193 -2.739242 0.000600
 298.000000 -0.270822 -2.546424 0.000341
 299.000000 0.090013 -3.058266 0.001199
 300.000000 0.524395 -2.703558 0.000300
 301.000000 -1.113095 3.139251 0.000311
 302.000000 1.783248 -2.809258 0.000285
 303.000000 0.485131 -2.735061 0.000149
 304.000000 -0.235918 3.107513 0.001222
 305.000000 -0.318688 2.614319 0.000686
 306.000000 1.495103 -2.756750 0.000260
 307.000000 0.408272 -2.832208 0.000199
 308.000000 -1.164830 -3.084628 0.000765
 309.000000 -1.750998 -3.064527 0.001918
 310.000000 0.984029 -2.807853 0.000277
 311.000000 0.801171 -2.216375 0.000515
 312.000000 0.266630 -2.548579 0.000849
 313.000000 -1.141579 -2.198759 0.000968
 314.000000 0.635270 -2.394362 0.000284
 315.000000 0.666816 -2.832004 0.000314
 316.000000 -1.294440 -2.488744 0.000325
 317.000000 -0.384489 -3.133474 0.000200
 318.000000 -0.325349 -3.078402 0.001085
 319.000000 -1.766781 2.746043 0.000110
 320.000000 -1.737473 -2.954951 0.000451
 321.000000 -1.375535 2.900714 0.000382
 322.000000 0.528964 -1.791704 0.000220
 323.000000 -0.455283 -2.685092 0.000581
 324.000000 -0.930317 -2.748336 0.000324
 325.000000 -0.835405 2.945998 0.000565
 326.000000 0.520935 -3.113470 0.000932
 327.000000 -1.194636 3.124383 0.000945
 328.000000 -1.936184 2.955550 0.001106
 329.000000 0.182830 2.829191 0.000900
 330.000000 0.398634 3.130160 0.000825
 331.000000 -1.277565 3.005298 0.001229
 332.000000 0.424510 2.739140 0.001115
 333.000000 -0.755929 -2.762300 0.001172
 334.000000 -1.385669 -2.950141 0.001103
 335.000000 0.464682 2.843875 0.000865
 336.000000 -1.213593 3.064411 0.000969
 337.000000 0.385553 -3.060839 0.000928
 338.000000 0.535380 3.131576 0.000990
 339.000000 0.448005 -3.034076 0.001078
 340.000000 -0.867051 2.906040 0.001141
 341.000000 -0.868576 2.990694 0.000971
 342.000000 -1.175593 2.968414 0.000870
 343.000000 0.454340 -3.084220 0.001096
 344.000000 -1.419295 -2.651299 0.001094
 345.000000 0.107791 -2.945237 0.001231
 346.000000 0.514852 3.065767 0.000646
 347.000000 0.442910 3.065236 0.001063
 348.000000 0.415147 -2.968365 0.000731
 349.000000 -1.056697 -2.694932 0.000953
 350.000000 0.986488 -2.911566 0.000489
 351.000000 0.339237 -2.883988 0.000320
 352.000000 0.219935 2.581854 0.000285
 353.000000 0.225541 -2.708652 0.000771
 354.000000 0.319903 -2.522483 0.001330
 355.000000 0.392123 -2.817993 0.000994
 356.000000 -1.075933 -3.029835 0.001204
 357.000000 0.437589 2.900617 0.001030
 358.000000 -0.262253 2.999240 0.001091
 359.000000 -1.669026 2.761407 0.000714
 360.000000 -1.082458 3.049781 0.000228
 361.000000 -1.416520 -2.794603 0.000700
 362.000000 0.278878 -2.973908 0.001728
 363.000000 0.411701 -2.910111 0.002561
 364.000000 0.217829 2.722138 0.002336
 365.000000 0.208581 2.983938 0.002634
 366.000000 -0.048213 2.673273 0.002491
 367.000000 0.196962 3.063085 0.001733
